Year,rain
1813,23.56
1814,26.07
1815,21.86
1816,31.24
1817,23.65
1818,23.88
1819,26.41
1820,23.26
1821,27.76
1822,19.44
1823,25.85
1824,22.93
1825,23.06
1826,22.27
1827,26.25
1828,22.67
1829,33.82
1830,26.64
1831,28.15
1832,22.86
1833,38.1
1834,26.75
1835,22.67
1836,22.57
1837,19.82
1838,21.63
1839,22.65
1840,19.22
1841,22.21
1842,27.57
1843,23.4
1844,18.82
1845,30.28
1846,27.01
1847,22.61
1848,17.69
1849,20.65
1850,25.36
1851,31.69
1852,23
1853,24.78
1854,27.49
1855,22.75
1856,20.63
1857,22.18
1858,21.59
1859,25.42
1860,28.44
1861,27.92
1862,19.21
1863,19.8
1864,22.54
1865,22.97
1866,24.79
1867,23.86
1868,27.88
1869,20.12
1870,19.43
1871,26.36
1872,35.34
1873,18.77
1874,16.93
1875,21.32
1876,26.16
1877,27.14
1878,27.74
1879,27.94
1880,23.28
1881,24.26
1882,27.88
1883,24.11
1884,25.32
1885,24.34
1886,31.13
1887,17.7
1888,25.89
1889,28.21
1890,29.48
1891,24.4
1892,28.17
1893,31.6
1894,23.85
1895,21.47
1896,22.17
1897,23.01
1898,32.43
1899,25.08
1900,27.42
1901,23.09
1902,29.81
1903,18.65
1904,32.24
1905,25.02
1906,33.86
1907,34.08
1908,20.35
1909,21.23
1910,23.52
1911,20.84
1912,23.67
